localizacao,rede,atu_em,had_em,tdi_em,taxa_aprovacao_em,taxa_reprovacao_em,dsu_em,afd_em_grupo_1,taxa_abandono_em
rural,federal,29.2,8.4,16.4,86.4,11.8,98.6,71.7,1.8
rural,privada,24.2,7.9,26.5,92.4,4.0,78.0,37.9,3.6
total,municipal,27.8,4.7,25.3,85.1,9.7,91.8,62.2,5.2
total,publica,30.9,4.8,30.9,79.6,12.9,94.3,60.1,7.5
total,total,30.5,4.9,28.0,81.5,11.9,93.5,60.4,6.6
urbana,municipal,29.5,4.7,22.8,85.4,10.0,95.9,68.3,4.6
urbana,publica,31.4,4.8,30.5,79.5,13.1,94.8,61.1,7.4
urbana,total,31.0,4.9,27.5,81.5,12.0,93.8,61.3,6.5
total,estadual,30.9,4.8,31.2,79.4,13.0,94.2,59.7,7.6
urbana,estadual,31.5,4.8,30.8,79.3,13.2,94.7,60.7,7.5
rural,estadual,22.2,4.5,41.7,82.4,8.6,88.2,45.0,9.0
rural,municipal,19.2,4.5,44.0,83.1,7.0,72.9,31.1,9.9
rural,publica,22.6,4.8,40.0,82.6,8.7,88.8,46.1,8.7
rural,total,22.6,4.9,39.5,83.0,8.6,88.3,45.8,8.4
total,privada,28.2,5.4,7.3,95.0,4.6,90.4,62.3,0.4
urbana,privada,28.2,5.4,7.1,95.1,4.6,90.5,62.6,0.3
total,federal,28.8,6.7,18.6,86.3,11.6,97.5,74.3,2.1
urbana,federal,28.8,6.4,19.0,86.3,11.5,97.3,74.7,2.2
rural,estadual,24.2,4.3,47.0,80.1,8.2,84.8,,11.7
total,publica,32.2,4.5,36.3,75.2,14.0,93.1,,10.8
total,total,31.9,4.6,32.8,77.4,13.1,92.7,,9.5
urbana,publica,32.7,4.5,35.9,75.0,14.3,93.7,,10.7
urbana,total,32.2,4.6,32.3,77.2,13.3,93.1,,9.5
rural,privada,25.3,6.5,23.1,92.8,5.3,80.1,,1.9
total,privada,29.5,5.3,7.6,93.4,6.1,91.2,,0.5
urbana,privada,29.5,5.3,7.5,93.4,6.1,91.3,,0.5
total,federal,30.2,6.1,21.6,83.4,13.9,97.4,,2.7
urbana,federal,30.0,5.8,21.8,83.1,14.2,97.1,,2.7
rural,federal,30.9,7.7,20.5,85.2,12.2,98.8,,2.6
total,municipal,29.2,4.4,37.2,79.5,10.5,83.9,,10.0
urbana,municipal,30.9,4.4,34.2,79.3,11.3,88.8,,9.4
rural,municipal,23.0,4.3,51.4,80.6,6.4,66.9,,13.0
rural,publica,24.4,4.5,45.7,80.4,8.3,84.8,,11.3
rural,total,24.5,4.6,45.0,80.8,8.2,84.6,,11.0
total,estadual,32.3,4.5,36.5,75.0,14.1,93.1,,10.9
urbana,estadual,32.7,4.5,36.1,74.8,14.3,93.6,,10.9
rural,municipal,20.4,4.4,46.7,80.4,7.5,70.5,31.4,12.1
rural,publica,22.7,4.8,41.2,82.0,8.8,88.9,48.7,9.2
rural,total,22.8,4.9,40.7,82.3,8.7,88.5,48.4,9.0
total,municipal,28.3,4.6,27.8,81.6,11.3,90.4,61.5,7.1
total,publica,31.0,4.8,31.3,78.3,13.1,93.6,59.0,8.6
total,total,30.7,4.9,28.2,80.3,12.1,93.2,59.5,7.6
urbana,municipal,30.1,4.7,24.7,81.8,11.9,95.6,68.3,6.3
urbana,publica,31.6,4.8,30.8,78.1,13.3,94.0,59.7,8.6
urbana,total,31.2,4.9,27.7,80.2,12.3,93.5,60.2,7.5
rural,federal,29.2,8.1,17.5,85.1,12.2,99.3,72.4,2.7
total,federal,28.4,6.4,18.4,84.5,13.1,97.5,74.2,2.4
urbana,federal,28.3,6.0,18.6,84.4,13.3,97.2,74.5,2.3
rural,estadual,22.4,4.5,42.7,81.8,8.6,88.6,48.0,9.6
rural,privada,25.0,7.4,28.3,91.4,4.8,80.6,40.5,3.8
total,privada,28.8,5.4,7.5,94.1,5.5,91.7,62.3,0.4
urbana,privada,28.9,5.4,7.2,94.1,5.5,91.9,62.6,0.4
total,estadual,31.1,4.8,31.6,78.2,13.1,93.5,58.7,8.7
urbana,estadual,31.7,4.8,31.1,78.0,13.3,93.9,59.4,8.7
rural,federal,29.0,7.8,18.7,84.0,12.7,99.5,73.6,3.3
rural,estadual,22.9,4.4,43.7,81.9,8.2,88.2,50.3,9.9
rural,privada,25.1,7.1,27.1,91.9,4.2,79.9,42.1,3.9
rural,municipal,20.2,4.3,47.3,82.7,6.7,71.0,32.7,10.6
rural,publica,23.1,4.7,42.3,82.0,8.4,88.4,50.8,9.6
rural,total,23.2,4.7,41.8,82.4,8.3,88.1,50.5,9.3
total,estadual,31.4,4.7,33.0,78.0,12.7,93.3,56.9,9.3
urbana,estadual,31.9,4.7,32.5,77.8,12.9,93.7,57.3,9.3
total,privada,29.0,5.4,7.6,93.8,5.7,91.9,60.8,0.5
urbana,privada,29.0,5.3,7.4,93.9,5.7,92.0,61.0,0.4
total,total,31.0,4.8,29.5,80.1,11.8,93.1,57.8,8.1
urbana,total,31.4,4.8,29.0,80.0,12.0,93.4,58.2,8.0
total,municipal,27.8,4.6,30.4,81.0,10.8,89.5,57.9,8.2
total,publica,31.3,4.7,32.7,78.1,12.7,93.5,57.2,9.2
urbana,municipal,29.8,4.6,27.4,80.7,11.5,94.6,64.3,7.8
urbana,publica,31.8,4.7,32.3,77.9,12.9,93.8,57.6,9.2
total,federal,28.9,6.3,19.4,83.8,13.5,98.3,74.4,2.7
urbana,federal,28.9,6.0,19.5,83.8,13.7,98.1,74.6,2.5
rural,federal,29.3,7.9,19.7,84.8,12.1,98.7,,3.1
total,estadual,31.7,4.6,34.8,76.4,13.1,93.3,,10.5
urbana,estadual,32.2,4.6,34.3,76.2,13.3,93.7,,10.5
